Layout.Nav.Register,用户注册
Tasks.MarkAsSolutionReminderJob.EmailBody,Your topic {0} on {1} has {2} replies but has still not been marked as solved. Please check again to see if any answers are appropriate and mark them as the solution if they are.
Tasks.MarkAsSolutionReminderJob.Subject,Your post on {0}
Post.MemberIsOnline,在线
PM.MemberIsOnline,在线
Topic.Label.PollCloseAfterDays,Close Poll After Specified Amount Of Days? Leave as 0 to disable
Topic.PollClosed,Closed
Post.OthersLiked,and {0} others
Members.Label.DisableEmailNotifications,Disable Email Notifications
TinyMCE.InsertImage.ButtonTitle,插入图片
TinyMCE.InsertImage.ButtonOk,确定
TinyMCE.InsertImage.ButtonClose,关闭
TinyMCE.InsertImage.EnterValidUrl,请输入有效的网址
TinyMCE.InsertImage.SelectFile,请选择一个文件
TinyMCE.InsertImage.MaxFileSize,图片文件的最大为2M
TinyMCE.InsertImage.OnlyImages,仅JPEG, PNG和 GIF类型的图片文件支持上传
TinyMCE.InsertImage.LabelUploadImage,上传图片
TinyMCE.InsertImage.Browse,选择
TinyMCE.InsertImage.ExternalImage,外部图片文件
TinyMCE.InsertImage.ImageDescription,图片描述
Post.Options,View Post Options
SlidePanel.CloseConfirmation,Are you sure you want to close?
PM.Block,Block
PM.Blocked,Blocked
PM.BlockedMessage,Unable to send message
PM.ShowMore,Show More Messages
PM.ShowMoreLoading,载入中...
Members.LogonMicrosoftButton,Login with Microsoft
Search.Results,Results Found
Post.Move.Label.Topic,Topic
Post.Move.Label.NewTopicTitle,Create New Topic
Post.Move.Label.ReplyToPosts,Move Replies and Quotes Too
Post.Move.PostTitle,移动回复
Post.Move.Description,Move post to an existing topic, or create a new one.
TermsAndConditions.Label.同意，我已经阅读和同意本网站的相关协议和免责声明
TermsAndConditions.PageTitle,同意本网站的相关协议和免责声明
TermsAndConditions.Label.AgreeError,You must Agree to the Terms and Conditions
PostEdit.Panel.Name,Post Edit History
PostEdit.None,This post has not post edit history at the moment
PostEdit.EditedBy,Edited By
PostEdit.OriginalVersion,Original
PostEdit.EditedVersion,Edited
Moderate.Title,Moderate
Moderate.NothingHere,Nothing here at the moment
Moderate.Topics,Topics
Moderate.Posts,Posts
Moderate.NavText,Pending Posts/Topics
